Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
Sep 22 2020,22874.3789,23179.0,22852.2324,23178.0,23178.0,-
Sep 21 2020,23170.0,23182.0,23170.0,23170.0,23170.0,-
Sep 18 2020,22735.0566,23180.0,22735.0566,23170.0,23170.0,-
Sep 17 2020,23178.0,23178.0,22855.1797,23178.0,23178.0,-
Sep 16 2020,22964.8652,23178.0,22841.832,23175.0,23175.0,-
Sep 15 2020,23175.0,23176.0,22843.4551,23175.0,23175.0,-
Sep 14 2020,23174.0,23181.0,22840.5625,23174.0,23174.0,-
Sep 11 2020,23173.0,23176.0,22836.4023,23173.0,23173.0,-
Sep 10 2020,23175.0,23178.0,22728.6387,23175.0,23175.0,-
Sep 9 2020,23176.0,23185.0,22831.6758,23176.0,23176.0,-
Sep 8 2020,23174.0,23178.0,22847.5996,23174.0,23174.0,-
Sep 7 2020,23178.0,23178.0,22836.668,23178.0,23178.0,-
Sep 4 2020,23174.0,23178.0,23170.0,23174.0,23174.0,-
Sep 3 2020,23174.0,23174.0,22847.9941,23174.0,23174.0,-
Sep 2 2020,23174.0,23174.0,22834.3105,23174.0,23174.0,-
Sep 1 2020,22796.4902,23174.0,22796.4902,23174.0,23174.0,-
Aug 31 2020,23174.0,23174.0,22819.709,23174.0,23174.0,-
Aug 28 2020,22812.9707,23175.0,22812.9707,23174.0,23174.0,-
Aug 27 2020,23174.0,23175.0,22784.3398,23174.0,23174.0,-
Aug 26 2020,23170.0,23175.0,22827.0469,23170.0,23170.0,-
Aug 25 2020,23177.0,23177.0,22901.5723,23177.0,23177.0,-
Aug 24 2020,23175.0,23185.0,22845.7188,23175.0,23175.0,-
Aug 21 2020,22769.3203,23176.0,22769.3203,23174.0,23174.0,-
Aug 20 2020,23174.0,23175.0,22851.8789,23174.0,23174.0,-
Aug 19 2020,23174.0,23175.0,22750.4805,23174.0,23174.0,-
Aug 18 2020,22760.7617,23175.0,22760.7617,23174.0,23174.0,-
Aug 17 2020,23174.0,23185.0,22837.0117,23174.0,23174.0,-
Aug 14 2020,23174.0,23176.0,22830.3438,23174.0,23174.0,-
Aug 13 2020,22781.2285,23178.0,22781.2285,23175.0,23175.0,-
Aug 12 2020,22947.6758,23175.0,22843.1426,23174.0,23174.0,-
Aug 11 2020,23170.0,23174.0,22850.498,23170.0,23170.0,-
Aug 10 2020,23173.0,23175.0,22834.6465,22903.8457,22903.8457,-
Aug 7 2020,23173.0,23175.0,22774.9492,23173.0,23173.0,-
Aug 6 2020,23174.0,23175.0,22850.3828,23174.0,23174.0,-
Aug 5 2020,22760.4883,23175.0,22760.4883,23175.0,23175.0,-
Aug 4 2020,22780.0391,23176.0,22780.0391,23170.0,23170.0,-
Aug 3 2020,23170.0,23176.0,22820.1309,23170.0,23170.0,-
Jul 31 2020,22610.6738,23177.0,22610.6738,23175.0,23175.0,-
Jul 30 2020,23175.0,23176.0,22773.7109,23175.0,23175.0,-
Jul 29 2020,23170.0,23179.0,22811.9219,23170.0,23170.0,-
Jul 28 2020,23181.0,23195.0,22762.0586,23181.0,23181.0,-
Jul 27 2020,23175.0,23185.0,22845.4453,23175.0,23175.0,-
Jul 24 2020,23180.0,23183.0,22781.5723,23180.0,23180.0,-
Jul 23 2020,22841.0879,23182.0,22841.0879,23184.0,23184.0,-
Jul 22 2020,23180.0,23190.0,22648.4141,23180.0,23180.0,-
Jul 21 2020,23188.0,23188.0,22830.168,23188.0,23188.0,-
Jul 20 2020,23191.0,23191.0,22816.9414,23191.0,23191.0,-
Jul 17 2020,23184.0,23191.0,22845.3164,23184.0,23184.0,-
Jul 16 2020,23183.0,23185.0,22886.2773,23183.0,23183.0,-
Jul 15 2020,22747.2871,23185.0,22747.2871,23181.0,23181.0,-
Jul 14 2020,23179.0,23185.0,22791.3242,23179.0,23179.0,-
Jul 13 2020,23264.0,23264.0,22825.1172,22824.2598,22824.2598,-
Jul 10 2020,22925.3789,23189.0,22815.1699,23184.0,23184.0,-
Jul 9 2020,23188.0,23192.0,22728.8164,23188.0,23188.0,-
Jul 8 2020,23180.0,23200.0,22833.7695,23180.0,23180.0,-
Jul 7 2020,23201.0,23203.0,22786.2852,23201.0,23201.0,-
Jul 6 2020,23199.0,23201.0,22847.8105,23199.0,23199.0,-
Jul 3 2020,23202.0,23205.0,22927.2969,23202.0,23202.0,-
Jul 2 2020,23264.0,23264.0,22753.916,23264.0,23264.0,-
Jul 1 2020,23264.0,23264.0,22787.4902,23264.0,23264.0,-
Jun 30 2020,23264.0,23264.0,22851.0254,23264.0,23264.0,-
Jun 29 2020,23264.0,23264.0,22862.793,23210.0,23210.0,-
Jun 26 2020,23264.0,23264.0,22837.3496,23264.0,23264.0,-
Jun 25 2020,22955.6836,23264.0,22851.4063,23264.0,23264.0,-
Jun 24 2020,23264.0,23264.0,22807.793,23264.0,23264.0,-
Jun 23 2020,23264.0,23264.0,22747.4434,23264.0,23264.0,-
Jun 22 2020,23264.0,23264.0,22856.582,23264.0,23264.0,-
Jun 19 2020,22962.877,23264.0,22867.8555,23264.0,23264.0,-
Jun 18 2020,23264.0,23264.0,22841.7402,23264.0,23264.0,-
Jun 17 2020,22959.8398,23264.0,22832.3984,23264.0,23264.0,-
Jun 16 2020,23264.0,23264.0,22689.3535,23264.0,23264.0,-
Jun 15 2020,23264.0,23264.0,22874.7305,23264.0,23264.0,-
Jun 12 2020,23264.0,23264.0,22855.5508,23264.0,23264.0,-
